ds,trend,cap,floor,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-07-04,11.404694009732383,130.5,0,-20.61654666388353,-0.5217330325970304,11.404694009732383,11.404694009732383,-22.333596903709676,-22.333596903709676,-22.333596903709676,0.4548191270836371,0.4548191270836371,0.4548191270836371,-22.78841603079331,-22.78841603079331,-22.78841603079331,0.0,0.0,0.0,-10.928902893977293
2025-07-06,11.628036191997952,130.5,0,-15.872336786763391,4.016363842029736,11.628036191997952,11.628036191997952,-18.204604508690853,-18.204604508690853,-18.204604508690853,-0.18947062743981996,-0.18947062743981996,-0.18947062743981996,-18.015133881251035,-18.015133881251035,-18.015133881251035,0.0,0.0,0.0,-6.576568316692901
2025-07-07,11.741180914881921,130.5,0,-14.480256388855459,5.5842854535152116,11.741180914881921,11.741180914881921,-15.78989094457053,-15.78989094457053,-15.78989094457053,-0.15581518633784014,-0.15581518633784014,-0.15581518633784014,-15.63407575823269,-15.63407575823269,-15.63407575823269,0.0,0.0,0.0,-4.048710029688609
2025-07-08,11.85531677578078,130.5,0,-12.848759499271516,6.865671406915978,11.85531677578078,11.85531677578078,-15.039526411671813,-15.039526411671813,-15.039526411671813,-1.7569417487249708,-1.7569417487249708,-1.7569417487249708,-13.282584662946846,-13.282584662946846,-13.282584662946846,0.0,0.0,0.0,-3.1842096358910332
2025-07-09,11.970450315011545,130.5,0,-9.86189712865654,10.04648047552298,11.970450315011545,11.970450315011545,-12.02924309480605,-12.02924309480605,-12.02924309480605,-1.050388699199436,-1.050388699199436,-1.050388699199436,-10.978854395606616,-10.978854395606616,-10.978854395606616,0.0,0.0,0.0,-0.058792779794504924
2025-07-10,12.086588073891317,130.5,0,-5.23377305873731,15.022769864125916,12.086588073891317,12.086588073891317,-7.718749424911175,-7.718749424911175,-7.718749424911175,1.0209840282021148,1.0209840282021148,1.0209840282021148,-8.73973345311329,-8.73973345311329,-8.73973345311329,0.0,0.0,0.0,4.3678386489801415
2025-07-11,12.20373659376086,130.5,0,-3.924002578585558,16.370950513565045,12.20373659376086,12.20373659376086,-6.1256143606026106,-6.1256143606026106,-6.1256143606026106,0.4548191270830966,0.4548191270830966,0.4548191270830966,-6.580433487685708,-6.580433487685708,-6.580433487685708,0.0,0.0,0.0,6.07812223315825
2025-07-12,12.321902414988783,130.5,0,-0.7882975449349318,19.512616100318677,12.321902414988783,12.321902414988783,-2.837462989145509,-2.837462989145509,-2.837462989145509,1.6768131064260976,1.6768131064260976,1.6768131064260976,-4.514276095571606,-4.514276095571606,-4.514276095571606,0.0,0.0,0.0,9.484439425843274
2025-07-13,12.44109207595646,130.5,0,-0.7366968041318832,19.105894756051626,12.44109207595646,12.44109207595646,-2.74195389176809,-2.74195389176809,-2.74195389176809,-0.18947062743909296,-0.18947062743909296,-0.18947062743909296,-2.5524832643289974,-2.5524832643289974,-2.5524832643289974,0.0,0.0,0.0,9.69913818418837
2025-07-14,12.56131211202328,130.5,0,1.7732171840605044,21.35983130252829,12.56131211202328,12.56131211202328,-0.859830919633221,-0.859830919633221,-0.859830919633221,-0.1558151863397725,-0.1558151863397725,-0.1558151863397725,-0.7040157332934486,-0.7040157332934486,-0.7040157332934486,0.0,0.0,0.0,11.701481192390059
2025-07-15,12.682569054472411,130.5,0,1.486409636420535,21.58140971113222,12.682569054472411,12.682569054472411,-0.732404098854489,-0.732404098854489,-0.732404098854489,-1.7569417487292025,-1.7569417487292025,-1.7569417487292025,1.0245376498747136,1.0245376498747136,1.0245376498747136,0.0,0.0,0.0,11.950164955617922
